web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-image-src,product-title,product-price
"1585501549-52","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Sweet Mango


						
										 
									
								
							26.40 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/mango/mango-sweet/p/988748","","Sweet Mango","26.40 AED
						/KG"
"1585501368-26","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Yellow Thai Mango


						
										 
									
								
							32.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/mango/mango-yellow-thai/p/1077402","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h31/heb/8951605559326/1077402_main.jpg_480Wx480H","Yellow Thai Mango","32.95 AED
						/KG"
"1585501605-61","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Small Yellow Banana


						
										 
									
								
							10.70 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/banana/banana-yellow-small/p/71411","","Small Yellow Banana","10.70 AED
						/KG"
"1585501484-42","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Red Plum


						
										 
									
								
							9.65 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/apricot-plums/plum-red/p/489964","","Red Plum","9.65 AED
						/KG"
"1585501448-37","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Valencia Oranges 3Kg


						

						Size :3Kg
							
							9.95 AED
					
							11.75 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/orange/orange-valencia-bag-3kg/p/638659","","Valencia Oranges 3Kg","9.95 AED"
"1585501528-49","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Senorita Banana


						
										 
									
								
							6.15 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/banana/banana-senorita-pp/p/871058","","Senorita Banana","6.15 AED"
"1585501477-41","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Ambrosia Apple


						
										 
									
								
							13.00 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/apple/apple-ambrosia/p/449009","","Ambrosia Apple","13.00 AED
						/KG"
"1585501574-56","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Banana


						
										 
									
								
							5.60 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/banana/ep-banana/p/71399","","Banana","5.60 AED
						/KG"
"1585501566-55","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Ya Pear


						
										 
									
								
							7.00 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/pears/pear-ya/p/446280","","Ya Pear","7.00 AED
						/KG"
"1585501667-67","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Solo Papaya


						
										 
									
								
							32.00 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/exotic-fruit/papaya-solo/p/446974","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9d/h3c/8950392586270/446974_main.jpg_480Wx480H","Solo Papaya","32.00 AED
						/KG"
