web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-title,product-price,product-image-src
"1585502382-109","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Muscade Pumpkin


						
										 
									
								
							12.70 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/muscade-pumkin/p/978451","Muscade Pumpkin","12.70 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3f/hf6/9914241417246/978451_main.jpg_480Wx480H"
"1585502412-114","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Big Aravi


						
										 
									
								
							8.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/aravi-big/p/457768","Big Aravi","8.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2c/h98/8949375664158/457768_main.jpg_480Wx480H"
"1585502152-70","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Red Cherry Tomatoes 250g


						Size :250g
							
							5.75 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/tomato/tomato-cherry-red-pp/p/447226","Red Cherry Tomatoes 250g","5.75 AED",""
"1585502222-82","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							White Flat Cabbage


						

						
										 
									
								
							0.95 AED
					
						/KG
				
							3.25 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/cabbage-white-flat/p/472448","White Flat Cabbage","0.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h96/h6f/10079914524702/472448_main.jpg_480Wx480H"
"1585502185-76","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Garlic


						
										 
									
								
							14.20 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/garlic-ginger/garlic-india/p/1140970","Garlic","14.20 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb9/he6/8960478281758/1140970_main.jpg_480Wx480H"
"1585502341-102","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Turmeric


						
										 
									
								
							10.70 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/turmeric-ind/p/1140971","Turmeric","10.70 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h66/h4e/8952770002974/1140971_main.jpg_480Wx480H"
"1585502312-97","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Portobello Mushrooms By Kg


						
										 
									
								
							28.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/mushrooms/mushroom-portobello/p/892986","Portobello Mushrooms By Kg","28.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h30/h68/8958894112798/892986_main.jpg_480Wx480H"
"1585502468-122","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Sweet Potato Purple White (Lowest Price)


						
										 
									
								
							6.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/ep-potato-sweet/p/447485","Sweet Potato Purple White (Lowest Price)","6.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1c/h24/9280901021726/447485_main.jpg_480Wx480H"
"1585502365-106","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Large Long Pumpkin


						
										 
									
								
							3.50 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/pumpkin-large-long/p/269357","Large Long Pumpkin","3.50 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h77/hd1/8949641838622/269357_main.jpg_480Wx480H"
"1585502325-99","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Sweet Potato (Orange)


						
										 
									
								
							14.75 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/potato-sweet-import/p/458471","Sweet Potato (Orange)","14.75 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd9/hef/9914241253406/458471_main.jpg_480Wx480H"
"1585502140-68","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Potato (Lowest Price)


						
										 
									
								
							3.55 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/ep-potato/p/1552234","Potato (Lowest Price)","3.55 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbf/h90/9158772621342/1552234_main.jpg_480Wx480H"
"1585502263-89","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Carrots 1kg


						Size :1kg
							
							6.95 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/carrot/carrot-bag-1-kg/p/70943","Carrots 1kg","6.95 AED","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1d/he1/8948031619102/70943_main.jpg_480Wx480H"
"1585502418-115","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Green Beans


						
										 
									
								
							6.30 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/beans-peas/beans-green/p/449353","Green Beans","6.30 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hce/h11/9929881911326/449353_main.jpg_480Wx480H"
"1585502228-83","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Cauliflower (Spain)


						
										 
									
								
							8.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/cauliflower-import/p/447454","Cauliflower (Spain)","8.95 AED
						/KG",""
"1585502178-75","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Red Cherry Tomatoes 250g


						

						Size :250g
							
							3.75 AED
					
							5.75 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/tomato/tomato-cherry-pp-m-e/p/919616","Red Cherry Tomatoes 250g","3.75 AED","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h61/hc6/10079938052126/919616_main.jpg_480Wx480H"
"1585502163-72","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Broccoli


						
										 
									
								
							12.90 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/broccoli/p/490041","Broccoli","12.90 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd7/h22/9929881419806/490041_main.jpg_480Wx480H"
"1585502147-69","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Cauliflower (Lowest Price)


						
										 
									
								
							7.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/ep-cauliflower/p/490043","Cauliflower (Lowest Price)","7.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h78/h1e/8949597274142/490043_main.jpg_480Wx480H"
"1585502173-74","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Tomato Beef Medium


						
										 
									
								
							9.90 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/tomato/tomato-beef-medium/p/447392","Tomato Beef Medium","9.90 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc7/h22/8950380625950/447392_main.jpg_480Wx480H"
"1585502275-91","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Chinese Cabbage


						
										 
									
								
							8.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/cabbage-chinese/p/447435","Chinese Cabbage","8.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hed/h58/8962921988126/447435_main.jpg_480Wx480H"
"1585502406-113","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Drumstick


						
										 
									
								
							11.20 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/drumstick/p/457767","Drumstick","11.20 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbc/ha2/8949375336478/457767_main.jpg_480Wx480H"
"1585502476-123","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Yellow Capsicum


						
										 
									
								
							14.90 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/capsicum-chilli/capsicum-yellow/p/490015","Yellow Capsicum","14.90 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf8/h3c/9914243219486/490015_main.jpg_480Wx480H"
"1585502330-100","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Bitter Gourd


						
										 
									
								
							9.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/bitter-gourd-kerala/p/458465","Bitter Gourd","9.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h93/hfa/8949901656094/458465_main.jpg_480Wx480H"
"1585502205-79","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Red Baby Pumpkin


						
										 
									
								
							3.85 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/pumpkin-baby-red/p/445974","Red Baby Pumpkin","3.85 AED
						/KG",""
"1585502319-98","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Cabbage Red


						
										 
									
								
							5.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/cabbage-red/p/70729","Cabbage Red","5.95 AED
						/KG",""
"1585502336-101","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Long Purple Eggplant


						
										 
									
								
							9.75 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/eggplant/eggplant-purple-long/p/457765","Long Purple Eggplant","9.75 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4b/had/8949375008798/457765_main.jpg_480Wx480H"
"1585502233-84","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Brown Mushrooms 250g


						Size :250g
							
							7.55 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/mushrooms/mushroom-brown-pp/p/351813","Brown Mushrooms 250g","7.55 AED","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/h06/9929886793758/351813_main.jpg_480Wx480H"
"1585502294-94","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Tapioca


						
										 
									
								
							4.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/tapioca/p/71434","Tapioca","4.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h31/hcd/8947146293278/71434_main.jpg_480Wx480H"
"1585502401-112","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Long Okra


						
										 
									
								
							12.70 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/beans-peas/okra-long/p/447577","Long Okra","12.70 AED
						/KG",""
"1585502348-103","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Tofu 500g


						Size :500g
							
							6.00 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/packed-vegetables/tofu-pack-uae/p/71194","Tofu 500g","6.00 AED","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdb/h7a/9269290270750/71194_main.jpg_480Wx480H"
"1585502269-90","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Butternut Pumpkin


						

						
										 
									
								
							13.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/pumpkin-butternut/p/447471","Butternut Pumpkin","13.95 AED
						/KG",""
"1585502396-111","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Small Shallots


						
										 
									
								
							12.70 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/onion-shalots/shallot-small/p/447581","Small Shallots","12.70 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8d/h08/8949893955614/447581_main.jpg_480Wx480H"
