web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-image-src,product-title,product-price
"1585504143-183","https://www.lifepharmacy.com/preventive-care.html","Surgical Disposable 3PLY Face Mask 50'S Box","https://www.lifepharmacy.com/surgical-3ply-face-mask-50-s-box.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/f/a/facemask_01.jpg","Surgical Disposable 3PLY Face Mask 50'S Box","AED 125.00"
"1585504137-180","https://www.lifepharmacy.com/preventive-care.html","Cool & Cool Hand Sanitizer Gel 250ml Assorted Flavour","https://www.lifepharmacy.com/cool-n-cool-hand-sanitizer-gel-250ml-asst.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/c/_/c_c_4.jpg","Cool & Cool Hand Sanitizer Gel 250ml Assorted Flavour","AED 25.00"
"1585504112-171","https://www.lifepharmacy.com/preventive-care.html","Nutritionl Vitamin C 1000 Mg Pure Ascorbic Acid Tablets 100's","https://www.lifepharmacy.com/nutritionl-vitamin-c-1000-mg-pure-ascorbic-acid-tablets-100-s.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/v/i/vitamin_c_1000mg_100_tablets.jpg","Nutritionl Vitamin C 1000 Mg Pure Ascorbic Acid Tablets 100's","AED 89.00"
"1585504085-160","https://www.lifepharmacy.com/preventive-care.html","Sunshine Nutrition Multivitamin Effervescent 20 Tablets","https://www.lifepharmacy.com/sunshine-nutrition-multivitamin-effervescent-20-tablets.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/m/u/multivitamin-effervescent-tablets.jpg","Sunshine Nutrition Multivitamin Effervescent 20 Tablets","AED 25.00"
"1585504117-173","https://www.lifepharmacy.com/preventive-care.html","Sunshine Nutrition Advanced Collagen + Vitamin C 100 Tablets","https://www.lifepharmacy.com/sunshine-nutrition-advanced-collagen-vitamin-c-100-tablets.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/s/u/sunshine-n-advanced-colla-g3-g714gen-vitamin-c-100-tabs_2.jpg","Sunshine Nutrition Advanced Collagen + Vitamin C 100 Tablets","AED 190.00"
"1585504088-161","https://www.lifepharmacy.com/preventive-care.html","Sunshine Nutrition Calcium + Vitamin D3 Effervescent 20 Tablets","https://www.lifepharmacy.com/sunshine-nutrition-calcium-vitamin-d3-effervescent-20-tablets.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/c/a/calcium-vitamin-d3-effervescent-tablets.jpg","Sunshine Nutrition Calcium + Vitamin D3 Effervescent 20 Tablets","AED 20.00"
"1585504139-181","https://www.lifepharmacy.com/preventive-care.html","Nz Health Umf Manuka Honey 10+ 250 g","https://www.lifepharmacy.com/nz-health-umf-manuka-honey-10-250-g.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/1/0/10_250g.jpg","Nz Health Umf Manuka Honey 10+ 250 g","AED 169.00"
"1585504075-156","https://www.lifepharmacy.com/preventive-care.html","Trister Digital Thermometer 20 Sec Rigid Tip","https://www.lifepharmacy.com/trister-digital-thermometer-20-second-rigid-tip.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/t/r/trister-digital-thermometer-20-sec-rigid-tip.jpg","Trister Digital Thermometer 20 Sec Rigid Tip","AED 15.00"
"1585504097-165","https://www.lifepharmacy.com/preventive-care.html","Sunshine Nutrition Cool Gummies Vegan Multivitamin 60's","https://www.lifepharmacy.com/sunshine-nutrition-cool-gummies-vegan-multivitamin-60-s.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/m/u/multivitamins-bottle_2.jpg","Sunshine Nutrition Cool Gummies Vegan Multivitamin 60's","AED 65.00"
"1585504095-164","https://www.lifepharmacy.com/preventive-care.html","Panadol All In One Tablets 24's","https://www.lifepharmacy.com/panadol-all-in-one-tablets-24s.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/p/a/panadol-all-in-one-tab-24s_5.jpg","Panadol All In One Tablets 24's","AED 14.50"
